user_id,clip_id,gamesession_Id,game_name,event_name,created_at,scheduled_at,join_at
173776,192734327325,213374501.0,Other Games,,2023-12-02 06:39:55,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734327325,213374501.0,Other Games,,2023-12-02 06:39:55,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734832050,214971185.0,Fortnite,,2023-12-02 06:41:03,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734832050,214971185.0,Fortnite,,2023-12-02 06:41:04,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734832050,214971185.0,Fortnite,,2023-12-02 06:41:04,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734832050,214971185.0,Fortnite,,2023-12-02 06:41:05,2023-12-02 18:00:00,2023-09-09 14:38:34
3460439,192737448855,215316823.0,League of Legends,,2023-12-02 07:01:25,2023-12-02 07:01:25,2023-05-22 02:17:25
3460439,192737448855,215316823.0,League of Legends,,2023-12-02 07:01:25,2023-12-02 07:01:25,2023-05-22 02:17:25
3460439,192737448855,215316823.0,League of Legends,,2023-12-02 07:01:26,2023-12-02 07:01:26,2023-05-22 02:17:25
3816707,192861160835,214508141.0,SMITE,,2023-12-02 14:42:03,2023-12-05 00:00:00,2023-01-04 23:43:11
3816707,192861160835,214508141.0,SMITE,,2023-12-02 14:42:03,2023-12-05 00:00:00,2023-01-04 23:43:11
3816707,192864297895,214508141.0,SMITE,,2023-12-02 14:50:04,2023-12-07 00:00:00,2023-01-04 23:43:11
3816707,192864297895,214508141.0,SMITE,,2023-12-02 14:50:04,2023-12-07 00:00:00,2023-01-04 23:43:11
3816707,192866285735,216068823.0,Apex Legends,,2023-12-02 14:53:21,2023-12-09 00:00:00,2023-01-04 23:43:11
3816707,192866285735,216068823.0,Apex Legends,,2023-12-02 14:53:21,2023-12-09 00:00:00,2023-01-04 23:43:11
2945135,192924173810,213903016.0,Other Games,,2023-12-02 17:43:56,2023-12-02 17:43:56,2023-07-22 11:33:41
2945135,192924173810,213903016.0,Other Games,,2023-12-02 17:43:56,2023-12-02 17:43:56,2023-07-22 11:33:41
1189261,192947950240,216248081.0,chatting,,2023-12-02 19:43:01,2023-12-02 19:43:01,2023-05-28 06:47:30
1189261,192947950240,216248081.0,chatting,,2023-12-02 19:43:01,2023-12-02 19:43:01,2023-05-28 06:47:30
1189261,192947950240,216248081.0,chatting,,2023-12-02 19:43:02,2023-12-02 19:43:02,2023-05-28 06:47:30
